Name,Code,Type,Desc
FID_LOGIN_ENABLE,1432,I,登录允许状态
FID_ZQJY_ENABLE,1433,I,证券交易允许状态
FID_ZJYW_ENABLE,1434,I,资金业务允许状态
FID_LSCXYW_ENABLE,1435,I,历史查询业务状态
FID_OFS_ENABLE,1436,I,开放式基金允许状态
FID_KHYW_ENABLE,1437,I,客户业务允许状态
FID_SFYG,1438,I,是否内部员工
FID_XZYS,1439,I,限制月数
FID_FUNCID,1440,I,函数功能号
FID_CXJE,1441,R,撤销金额
FID_ZJLY,1442,C,资金来源
FID_WTSF,1443,R,委托收费金额
FID_CDSF,1444,R,撤单收费金额
FID_XYSYBZ,1445,I,信用使用标志
FID_LSCLMS,1446,I,冲销资金业务原流水处理模式
FID_JLLSBZ,1447,I,是否记录流水标志
FID_TZMS,1448,I,调整模式
FID_DOMAIN1,1449,C,查询域
FID_REGLOG,1450,I,是否记录日志
FID_SLTSFS,1451,C,数量提示方式
FID_OWNER_KH,1452,I,允许拥有客户
FID_OWNER_JJR,1453,I,允许拥有经纪人
FID_KZFS_KHQX,1454,I,客户权限控制方式
FID_KZFS_YHQX,1455,I,用户权限控制方式
FID_KZFS_CSQX,1456,I,参数权限控制方式
FID_KZFS_KHFL,1457,I,客户分类控制方式
FID_YXRQ,1458,I,有效日期
FID_WJLX,1459,I,文件类型
FID_WJLJ,1460,C,文件路径
FID_SYFW,1461,I,适用范围
FID_ZJDZ,1462,C,证件上的地址
FID_FXJB,1463,I,风险级别
FID_SQCZRH,1464,C,授权操作人编号
FID_ZHGLJG,1465,C,帐户管理机构
FID_ZJDZ_FRDB,1466,C,法人代表的证件地址
FID_XM_JBR,1467,C,机构经办人姓名
FID_ZJLB_JBR,1468,I,机构经办人证件类别
FID_ZJBH_JBR,1469,C,机构经办人证件编号
FID_ZCFZ,1470,C,资产分组
FID_EN_ZCFZ,1471,C,资产分组范围
FID_XJYE,1472,R,现金余额
FID_RZRQ,1473,I,入帐日期
FID_TXXS,1474,I,是否显示图像
FID_CDWZID_NEW,1475,I,新菜单位置代码
FID_KZYWDM,1476,C,扩展业务代码
FID_KZYWMC,1477,C,扩展业务名称
FID_KZYWSM,1478,C,扩展业务说明
FID_KZYWZT,1479,I,扩展业务状态
FID_ZZXY,1480,C,自助协议
FID_NZZCJE,1481,R,内转转出金额
FID_NZZRJE,1482,R,内转转入金额
FID_QTCKJE,1483,R,其它存款金额
FID_QTQKJE,1484,R,其它取款金额
FID_ZPCKJE,1485,R,支票存款金额
FID_ZPQKJE,1486,R,支票取款金额
FID_ZZZCJE,1487,R,银证转帐转出金额
FID_ZZZRJE,1488,R,银证转帐转入金额
FID_HCJE,1489,R,红冲金额
FID_LBJE,1490,R,兰补金额
FID_TJZQ,1491,I,统计周期
FID_TJDW,1492,C,统计单位
FID_TGZRHS,1493,I,转托管转入户数
FID_TGZCHS,1494,I,转托管转出户数
FID_TGZRSZ,1495,R,转托管转入市值
FID_TGZCSZ,1496,R,转托管转出市值
FID_ZDZRSZ,1497,R,指定转入市值
FID_CZZCSZ,1498,R,撤指转出市值
FID_JGLBMC,1499,C,机构类别名称
FID_FXLB,1500,I,发行类别
FID_FXRDM,1501,C,发行人代码
FID_QZDM,1502,C,权证代码
FID_QZLX,1503,I,权证类型
FID_XQBL,1504,R,行权比例
FID_FILEDATA,1505,C,文件数据
FID_FILEZIP,1506,C,文件是否压缩传送
FID_FILECOMPANYNAME,1507,C,文件的公司名称
FID_FILEPRODUCTNAME,1508,C,文件的相关产品名称
FID_FILEDIR,1509,C,文件所存放目录
FID_FILENEW,1510,C,是新文件，强制用户更新
FID_FILERELATION,1511,C,上传数据块与已存在的文件的关系
FID_FILEPOSITION,1512,C,文件中相对于文件头的偏移
FID_FILETYPE,1513,C,文件的业务类型
FID_XQDM,1514,C,行权代码
FID_XQFS,1515,I,行权方式
FID_XQJG,1516,R,行权价格
FID_ZCLB,1517,I,资产类别
